Freq (Hz),Gain (dB),Phase (deg)
100.024,-23.626,-91.681
112.131,-22.592,-91.884
125.915,-21.531,-92.116
141.189,-20.469,-92.382
158.511,-19.376,-92.685
177.883,-18.262,-93.055
199.489,-17.123,-93.478
223.890,-15.936,-93.988
251.271,-14.696,-94.595
281.818,-13.392,-95.339
316.277,-11.985,-96.276
354.834,-10.451,-97.492
398.047,-8.735,-99.141
446.662,-6.742,-101.529
501.238,-4.331,-105.302
562.333,-1.246,-112.140
630.878,2.936,-127.696
707.991,7.068,-171.524
794.418,4.218,135.365
891.276,-0.272,115.125
1000.054,-3.604,106.860
1122.057,-6.155,102.532
1258.962,-8.235,99.870
1412.630,-10.015,98.068
1584.925,-11.589,96.761
1778.267,-13.020,95.763
1995.265,-14.349,94.980
2238.713,-15.600,94.347
2511.963,-16.794,93.822
2818.368,-17.944,93.382
3162.213,-19.060,93.007
3548.153,-20.151,92.683
3981.031,-21.221,92.403
4466.809,-22.274,92.157
5011.819,-23.315,91.944
5623.326,-24.346,91.751
6309.524,-25.368,91.575
7079.542,-26.384,91.423
7943.250,-27.394,91.158
8912.571,-28.400,91.012
9999.983,-29.402,90.876
