Freq (Hz),Gain (dB),Phase (deg)
100.024,-23.641,-91.673
112.131,-22.606,-91.876
125.915,-21.545,-92.111
141.189,-20.483,-92.380
158.511,-19.390,-92.687
177.883,-18.276,-93.049
199.489,-17.137,-93.473
223.890,-15.951,-93.980
251.271,-14.710,-94.589
281.818,-13.407,-95.332
316.277,-12.001,-96.269
354.834,-10.468,-97.482
398.047,-8.752,-99.123
446.662,-6.762,-101.507
501.238,-4.354,-105.266
562.333,-1.273,-112.072
630.878,2.902,-127.533
707.991,7.057,-171.125
794.418,4.244,135.557
891.276,-0.255,115.182
1000.054,-3.592,106.888
1122.057,-6.147,102.545
1258.962,-8.230,99.874
1412.630,-10.010,98.070
1584.925,-11.585,96.764
1778.267,-13.018,95.761
1995.265,-14.347,94.979
2238.713,-15.599,94.344
2511.963,-16.794,93.820
2818.368,-17.944,93.377
3162.213,-19.060,93.003
3548.153,-20.151,92.678
3981.031,-21.220,92.401
4466.809,-22.274,92.156
5011.819,-23.315,91.938
5623.326,-24.346,91.748
6309.524,-25.368,91.574
7079.542,-26.385,91.419
7943.250,-27.395,91.154
8912.571,-28.401,91.008
9999.983,-29.403,90.867
